도루_D,도루_R,방어율,자책,완투,실점,득점,타수,안타수,2루,3루,홈런,볼넷,삼진,이닝당아웃수,안타허용,홈런허용,볼넷허용,탈삼진,탈병살,실책,OPS,WHIP,W
0,0,1.0,1,0,1,4,30,7,1,0,0,5,5,27,5,0,8,5,0,0,0.590990990990991,1.4444444444444444,1
0,0,1.125,1,0,4,1,30,5,0,0,0,8,9,24,7,0,5,9,0,3,0.5,1.5,0
0,1,4.0,4,0,4,3,34,7,2,0,0,2,5,27,10,0,1,5,0,0,0.5147058823529411,1.2222222222222223,0
1,0,2.0,2,0,3,4,33,10,2,0,0,1,7,27,7,0,2,7,1,2,0.6691919191919192,1.0,1
1,0,5.0,5,0,5,10,38,15,1,0,3,2,8,27,9,2,4,8,2,0,1.0969191270860077,1.4444444444444444,1
0,1,11.25,10,0,10,5,33,9,1,0,2,4,6,24,15,3,2,6,1,0,0.8532695374800638,2.125,0
0,0,3.0,3,0,3,2,28,5,1,0,0,5,6,27,9,0,2,6,0,0,0.5285714285714286,1.2222222222222223,0
0,0,2.0,2,0,2,3,34,9,1,0,0,2,7,27,5,0,5,7,0,0,0.5996732026143792,1.1111111111111112,1
0,0,8.0,8,0,8,1,32,5,2,0,0,2,9,27,11,2,4,9,0,0,0.42463235294117646,1.6666666666666667,0
0,0,1.0,1,0,1,8,38,11,1,0,2,4,12,27,5,0,2,12,1,1,0.8308270676691729,0.7777777777777778,1
1,0,6.0,6,0,7,5,37,11,2,0,1,3,6,27,10,1,8,6,1,1,0.7824324324324324,2.0,0
0,1,5.0,5,0,5,7,32,10,4,0,1,8,7,27,11,1,3,7,1,0,0.98125,1.5555555555555556,1
1,1,5.0,5,0,5,1,30,5,0,0,0,4,7,27,13,1,2,7,0,1,0.43137254901960786,1.6666666666666667,0
1,1,1.0,1,0,1,5,39,13,3,0,1,2,7,27,5,0,4,7,1,0,0.8530331457160725,1.0,1
0,0,3.0,3,0,6,3,31,7,1,0,0,2,3,27,10,2,5,3,2,4,0.5636200716845878,1.6666666666666667,0
0,0,2.0,2,0,3,6,33,10,3,0,2,5,7,27,7,0,2,7,0,1,0.9603729603729605,1.0,1
0,3,2.0,2,0,2,4,28,7,1,0,1,4,3,27,9,0,5,3,3,0,0.7457983193277311,1.5555555555555556,1
3,0,4.5,4,0,4,2,31,9,2,0,0,5,5,24,7,1,4,5,0,1,0.7437275985663083,1.375,0
0,0,5.0,5,0,5,2,32,5,0,0,0,2,8,27,10,3,1,8,1,1,0.3784722222222222,1.2222222222222223,0
0,0,1.0,1,0,2,5,36,10,0,0,3,1,6,27,5,0,2,6,0,1,0.8172514619883041,0.7777777777777778,1
0,0,3.0,3,0,4,1,32,7,1,0,1,3,2,27,9,1,1,2,1,2,0.6493055555555556,1.1111111111111112,0
0,0,0.0,0,0,1,4,35,9,1,0,1,1,3,27,7,1,3,3,1,1,0.6492063492063492,1.1111111111111112,1
0,1,1.0,1,0,1,11,39,14,2,1,1,4,4,27,5,0,1,4,1,0,0.9570661896243291,0.6666666666666666,1
1,0,10.125,9,0,11,1,30,5,2,0,0,1,5,24,14,1,4,5,0,1,0.45208333333333334,2.25,0
2,1,8.0,8,0,8,9,28,8,4,0,1,6,7,27,11,0,7,7,1,0,0.9246031746031746,2.0,1
1,2,10.125,9,0,9,8,35,11,0,1,0,7,8,24,8,1,6,8,1,0,0.7900332225913622,1.75,0
2,0,7.0,7,0,7,2,33,8,1,0,0,2,6,27,5,1,10,6,1,0,0.5782828282828283,1.6666666666666667,0
0,2,2.0,2,0,2,7,28,5,2,0,1,10,9,27,8,0,2,9,0,0,0.7673992673992673,1.1111111111111112,1
1,0,2.0,2,0,2,3,29,7,1,0,1,4,8,27,5,1,7,8,2,0,0.7126436781609196,1.3333333333333333,1
0,1,3.375,3,0,3,2,30,5,0,0,1,7,6,24,7,1,4,6,0,1,0.590990990990991,1.375,0
0,0,3.0,3,0,5,0,29,8,0,0,0,2,10,27,11,1,5,10,0,1,0.5984427141268076,1.7777777777777777,0
0,0,0.0,0,0,0,5,36,11,1,0,1,5,3,27,8,0,2,3,3,0,0.806910569105691,1.1111111111111112,1
0,1,1.0,1,0,1,5,31,10,0,0,1,9,6,27,7,1,6,6,1,0,0.8943548387096774,1.4444444444444444,1
1,0,5.625,5,0,5,1,32,7,1,0,1,6,2,24,10,1,9,2,0,0,0.702724358974359,2.375,0
1,0,1.0,1,0,2,3,30,7,1,0,1,5,4,27,11,1,3,4,3,1,0.7095238095238094,1.5555555555555556,1
0,1,3.375,3,0,3,2,34,11,0,0,1,3,11,24,7,1,5,11,1,0,0.8065015479876161,1.5,0
0,0,7.0,7,0,8,6,35,9,1,0,0,5,4,27,13,1,3,4,2,1,0.6357142857142857,1.7777777777777777,0
0,0,6.0,6,0,6,8,36,13,2,1,1,3,9,27,9,0,5,9,0,0,0.9805555555555556,1.5555555555555556,1
0,1,16.0,16,0,17,1,31,4,2,0,0,5,5,27,21,4,4,5,0,1,0.4435483870967742,2.7777777777777777,0
1,0,1.0,1,0,1,17,48,21,4,0,4,4,5,27,4,0,5,5,1,1,1.2613993710691824,1.0,1
1,2,5.0,5,0,6,3,34,10,2,0,0,2,5,27,10,1,0,5,1,2,0.6772655007949127,1.1111111111111112,0
2,1,3.0,3,0,3,6,36,10,0,1,1,0,5,27,10,0,2,5,2,0,0.6869369369369369,1.3333333333333333,1
1,1,6.0,6,0,6,19,48,21,3,0,5,5,7,27,13,3,3,7,1,1,1.2939814814814814,1.7777777777777777,1
1,1,15.75,14,0,19,6,39,13,0,0,3,3,5,24,21,5,5,5,0,5,0.945054945054945,3.25,0
0,0,1.0,1,0,1,17,38,18,1,1,2,11,6,27,3,0,1,6,1,2,1.2874493927125505,0.4444444444444444,1
0,0,19.125,17,0,17,1,29,3,1,0,0,1,5,24,18,2,11,5,2,1,0.3254310344827586,3.625,0
1,2,10.0,10,0,15,2,32,7,0,0,0,4,5,27,16,2,9,5,0,2,0.5430743243243243,2.7777777777777777,0
2,1,2.0,2,0,2,15,43,16,5,1,2,9,8,27,7,0,4,8,2,0,1.14611671785871,1.2222222222222223,1
0,0,5.4,6,0,7,8,36,10,3,0,1,3,4,30,19,0,3,4,3,1,0.7777777777777777,2.2,1
0,0,6.75,7,0,8,7,45,19,2,0,0,3,10,28,10,1,3,10,0,1,0.9266666666666667,1.3928571428571428,0
0,1,2.0,2,0,2,5,31,7,2,3,0,0,5,27,4,1,3,5,0,0,0.7262952101661779,0.7777777777777778,1
1,0,5.625,5,0,5,2,30,4,1,0,1,3,6,24,7,0,0,6,0,1,0.47878787878787876,0.875,0
0,1,1.0,1,0,3,10,35,15,2,0,3,6,9,27,10,0,1,9,0,1,1.2550522648083624,1.2222222222222223,1
1,0,11.25,10,0,10,3,37,10,4,0,0,1,6,24,15,3,6,6,3,1,0.6604296604296604,2.625,0
0,3,6.0,6,0,6,15,44,20,1,1,3,6,5,27,13,2,2,5,1,0,1.2472727272727273,1.6666666666666667,1
3,0,16.875,15,0,15,6,35,13,5,2,2,2,7,24,20,3,6,7,0,0,1.1846153846153846,3.25,0
0,0,2.0,2,0,2,13,37,15,3,0,2,2,5,27,5,0,3,5,2,2,1.0845460845460846,0.8888888888888888,1
0,0,14.625,13,0,13,2,29,5,0,0,0,3,5,24,15,2,2,5,2,0,0.4224137931034483,2.125,0
0,0,7.0,7,0,7,0,31,5,1,0,0,2,9,27,12,1,7,9,1,0,0.428842504743833,2.111111111111111,0
0,0,0.0,0,0,0,7,37,12,4,1,1,7,7,27,5,0,2,7,1,0,0.9993857493857494,0.7777777777777778,1
0,1,4.0,4,0,4,5,31,8,2,1,1,1,6,27,10,1,1,6,1,0,0.7651209677419355,1.2222222222222223,1
1,0,3.375,3,0,5,4,32,10,2,1,1,1,2,24,8,1,1,2,0,1,0.8645833333333333,1.125,0
3,2,10.0,10,0,10,17,42,20,2,0,0,6,6,27,12,2,7,6,2,0,1.0654761904761905,2.111111111111111,1
2,3,19.125,17,0,17,10,37,12,2,0,2,7,9,24,20,0,6,9,0,1,0.9723587223587224,3.25,0
1,3,3.0,3,0,3,4,33,8,1,1,0,1,5,27,6,1,2,5,0,0,0.5980392156862745,0.8888888888888888,1
3,1,3.375,3,1,4,3,31,6,1,0,1,2,7,24,8,0,1,7,1,2,0.5872865275142315,1.125,0
0,0,1.0,1,0,1,4,32,8,1,0,3,3,8,27,6,0,4,8,0,0,0.8767857142857143,1.1111111111111112,1
0,0,4.5,4,0,4,1,31,6,0,0,0,4,12,24,8,3,3,12,0,1,0.5178727114210986,1.375,0
1,0,5.0,5,0,5,0,30,6,1,0,0,4,10,27,9,1,5,10,1,0,0.5476190476190477,1.5555555555555556,0
0,1,0.0,0,0,0,5,34,9,2,0,1,5,7,27,6,0,4,7,1,0,0.7867647058823529,1.1111111111111112,1
1,1,6.0,6,0,6,3,36,8,4,0,0,1,7,27,7,0,8,7,0,0,0.5765765765765766,1.6666666666666667,0
1,1,3.0,3,0,3,6,31,7,2,0,0,8,4,27,8,0,1,4,1,2,0.6805664830841858,1.0,1
0,0,4.0,4,0,4,7,33,13,1,0,1,5,9,27,4,1,5,9,1,0,0.9888357256778308,1.0,1
0,0,6.75,6,0,7,4,30,4,0,0,1,5,4,24,13,1,5,4,1,1,0.5111111111111111,2.25,0
0,0,4.0,4,0,6,7,35,10,2,1,2,5,9,27,11,0,1,9,0,2,0.9616724738675958,1.3333333333333333,1
0,0,4.153846153846154,4,0,7,6,37,11,3,0,0,1,6,26,10,2,5,6,0,1,0.7283783783783784,1.7307692307692308,0
0,1,5.0,5,0,5,11,30,12,2,0,0,10,6,27,9,1,2,6,1,2,1.0015503875968992,1.2222222222222223,1
1,0,12.375,11,0,11,5,36,9,1,0,1,2,3,24,12,0,10,3,2,0,0.6505847953216375,2.75,0
3,0,17.0,17,0,17,11,46,18,1,0,3,4,6,27,21,2,7,6,2,1,1.0510033444816054,3.111111111111111,0
0,3,11.0,11,0,11,17,44,21,4,0,2,7,7,27,18,3,4,7,0,2,1.2786195286195285,2.4444444444444446,1
1,0,5.7272727272727275,7,0,7,8,43,12,1,0,1,11,8,33,15,1,5,8,1,0,0.8084566596194502,1.8181818181818181,1
0,1,5.225806451612903,6,0,8,7,43,15,0,0,1,5,10,31,12,1,11,10,0,3,0.8303693570451436,2.225806451612903,0
1,0,11.0,11,0,11,7,38,13,5,0,1,4,6,27,13,5,4,6,2,2,0.9617224880382775,1.8888888888888888,0
0,1,7.0,7,0,7,11,37,13,4,0,5,4,11,27,13,1,4,11,1,2,1.2696267696267696,1.8888888888888888,1
3,0,9.0,9,0,9,3,33,9,0,0,0,7,3,27,17,1,6,3,0,1,0.6774891774891775,2.5555555555555554,0
0,3,3.0,3,0,3,9,41,17,2,0,1,6,4,27,9,0,7,4,1,0,1.0263812842210056,1.7777777777777777,1
0,3,3.0,3,0,3,8,38,14,6,0,1,1,9,27,9,1,2,9,3,1,0.9898785425101215,1.2222222222222223,1
3,0,6.75,6,0,8,3,34,9,1,0,1,2,6,24,14,1,1,6,0,2,0.7066772655007949,1.875,0
0,0,4.0,4,0,5,6,36,13,4,0,0,3,8,27,9,0,9,8,1,3,0.8824786324786325,2.0,1
0,0,5.625,5,0,6,5,35,9,1,0,0,9,7,24,13,0,3,7,1,1,0.6857142857142857,2.0,0
1,0,7.0,7,0,7,3,32,9,2,0,0,2,6,27,12,3,5,6,2,1,0.6672794117647058,1.8888888888888888,0
0,1,3.0,3,0,3,7,35,12,2,0,3,5,7,27,9,0,2,7,1,0,1.0717770034843206,1.2222222222222223,1
0,1,2.0,2,0,2,16,45,22,4,1,2,3,6,27,11,0,1,6,0,0,1.2755555555555556,1.3333333333333333,1
1,0,14.625,13,0,16,2,37,11,3,1,0,1,6,24,22,2,3,6,0,1,0.748221906116643,3.125,0
0,0,16.0,16,0,16,2,34,9,2,0,0,1,13,27,17,4,5,13,1,0,0.6092436974789917,2.4444444444444446,0
0,0,2.0,2,0,2,16,43,17,3,1,4,5,9,27,9,0,1,9,2,0,1.249031007751938,1.1111111111111112,1
0,0,6.0,6,0,6,10,38,16,5,1,2,3,5,27,8,2,4,5,0,0,1.2393483709273183,1.3333333333333333,1
0,0,7.875,7,0,10,6,31,8,1,0,2,4,10,24,16,2,3,10,2,1,0.8172043010752688,2.375,0
1,0,12.0,12,0,12,1,33,6,1,1,0,3,10,27,12,1,9,10,0,0,0.5227272727272727,2.3333333333333335,0
0,1,1.0,1,0,1,12,36,12,1,1,1,9,10,27,6,0,3,10,0,0,0.9791666666666667,1.0,1
1,0,2.0,2,0,2,5,33,10,1,0,3,2,7,27,10,0,3,7,2,0,0.9574119574119575,1.4444444444444444,1
0,1,4.5,4,0,5,2,35,10,3,0,0,3,8,24,10,3,2,8,1,1,0.7135338345864661,1.5,0
1,0,6.0,6,0,7,5,33,10,2,1,0,2,6,27,9,0,9,6,0,1,0.7853535353535354,2.0,0
0,1,5.0,5,0,5,7,34,9,2,0,0,9,7,27,10,0,2,7,1,0,0.7457516339869281,1.3333333333333333,1
0,1,0.0,0,0,1,8,30,9,1,1,2,6,12,27,3,0,1,12,1,1,1.0324324324324325,0.4444444444444444,1
1,0,9.0,8,0,8,1,30,3,2,0,0,1,4,24,9,2,6,4,0,0,0.29569892473118276,1.875,0
0,0,2.0,2,0,2,4,27,6,1,0,0,4,6,27,6,0,4,6,0,0,0.6228956228956228,1.1111111111111112,1
0,0,2.25,2,0,4,2,32,6,1,0,0,4,2,24,6,0,4,2,0,1,0.4965277777777778,1.25,0
0,0,5.0,5,0,5,4,35,9,0,0,2,1,7,27,10,2,2,7,1,0,0.7063492063492063,1.3333333333333333,0
0,0,4.0,4,0,4,5,36,10,1,0,2,2,11,27,9,2,1,11,1,0,0.7880116959064327,1.1111111111111112,1
2,0,13.0,13,0,14,8,40,13,0,0,1,4,6,27,14,3,13,6,3,1,0.7863636363636364,3.0,0
0,2,7.0,7,0,8,14,37,14,2,0,3,13,8,27,13,1,4,8,0,1,1.2141372141372142,1.8888888888888888,1
1,1,7.0,7,0,8,4,34,10,3,0,0,4,8,27,15,1,4,8,0,2,0.7323529411764705,2.111111111111111,0
1,1,4.0,4,0,4,8,39,15,4,0,1,4,8,27,10,0,4,8,1,0,1.0085470085470085,1.5555555555555556,1
0,0,1.0,1,0,1,2,29,8,2,1,0,5,7,27,3,0,3,7,0,0,0.7961460446247464,0.6666666666666666,1
0,0,2.25,2,0,2,1,30,3,1,0,0,3,7,24,8,0,5,7,0,1,0.3392156862745098,1.625,0
0,1,0.0,0,1,0,8,36,12,1,0,1,3,6,27,5,0,0,6,2,1,0.8444444444444444,0.5555555555555556,1
1,0,9.0,8,0,8,0,30,5,0,0,0,0,3,24,12,1,3,3,0,1,0.3333333333333333,1.875,0
0,3,6.0,6,0,6,3,36,10,2,0,0,5,7,27,9,4,4,7,0,0,0.6991869918699187,1.4444444444444444,0
3,0,3.0,3,0,3,6,34,9,2,0,4,4,11,27,10,0,5,11,1,0,1.0098039215686274,1.6666666666666667,1
1,1,3.0,3,0,4,10,36,15,2,0,1,5,6,27,9,0,2,6,0,1,1.0439276485788114,1.2222222222222223,1
1,1,9.0,8,0,10,4,37,9,2,0,0,2,5,24,15,1,5,5,1,1,0.5972972972972973,2.5,0
0,0,12.0,12,0,12,2,32,5,1,0,1,6,6,27,18,2,3,6,1,0,0.5707236842105263,2.3333333333333335,0
0,0,1.0,1,0,2,12,42,18,2,1,2,3,8,27,5,1,6,8,0,0,1.1347517730496453,1.2222222222222223,1
0,1,2.0,2,0,3,12,38,16,3,1,1,3,4,27,5,1,4,4,0,2,1.0966952264381884,1.0,1
1,0,12.375,11,0,12,3,34,5,0,0,1,4,3,24,16,1,3,3,1,2,0.4917043740573152,2.375,0
3,1,7.0,7,0,7,8,32,9,1,0,2,9,7,27,18,0,5,7,2,0,0.9523809523809523,2.5555555555555554,1
1,3,9.0,8,0,8,7,42,18,2,0,0,5,7,24,9,2,9,7,0,0,0.9655521783181358,2.25,0
2,4,1.5,2,0,2,2,43,7,2,0,0,6,12,36,7,0,6,12,1,1,0.4893023255813954,1.0833333333333333,0
4,2,1.5,2,0,2,2,42,7,0,0,0,6,10,36,7,0,6,10,0,1,0.4375,1.0833333333333333,0
0,1,8.0,8,0,8,3,35,9,1,0,1,2,11,27,11,1,3,11,0,0,0.6687258687258688,1.5555555555555556,0
1,0,2.0,2,0,3,8,38,11,2,0,1,3,6,27,9,1,2,6,1,1,0.7625160462130938,1.2222222222222223,1
1,0,5.0,5,0,5,3,33,8,1,0,1,1,3,27,11,1,4,3,2,3,0.6283422459893049,1.6666666666666667,0
0,1,3.0,3,0,3,5,37,11,1,0,1,4,4,27,8,1,1,4,2,0,0.7712590639419907,1.0,1
1,0,2.7,3,0,4,5,36,10,3,0,0,5,11,30,9,2,2,11,1,2,0.7564599483204134,1.1,1
0,1,3.724137931034483,4,0,5,4,36,9,0,0,2,2,7,29,10,0,5,7,1,0,0.7061403508771931,1.5517241379310345,0
2,1,3.0,3,0,3,4,30,9,1,0,1,2,10,27,11,0,1,10,1,1,0.7568627450980392,1.3333333333333333,1
1,2,4.5,4,0,4,3,36,11,4,0,0,1,1,24,9,1,2,1,1,0,0.75,1.375,0
1,1,9.0,9,0,9,7,35,13,1,1,0,2,10,27,9,3,4,10,1,0,0.8417582417582418,1.4444444444444444,0
1,1,7.0,7,0,7,9,34,9,1,0,3,4,5,27,13,0,2,5,1,0,0.9338235294117647,1.6666666666666667,1
0,0,2.0,2,0,3,7,32,9,1,0,0,4,8,27,11,0,1,8,1,2,0.671474358974359,1.3333333333333333,1
0,0,5.625,5,0,7,3,36,11,1,0,0,1,5,24,9,0,4,5,0,3,0.6491228070175439,1.625,0
0,1,3.0,3,0,3,5,33,10,2,0,1,2,4,27,9,2,1,4,0,0,0.7974025974025973,1.1111111111111112,1
1,0,5.625,5,0,5,3,36,9,1,1,2,1,8,24,10,1,2,8,1,1,0.7894736842105263,1.5,0
0,0,2.0,2,0,2,13,34,13,4,0,2,8,5,27,6,0,2,5,0,1,1.1991978609625669,0.8888888888888888,1
0,0,14.625,13,0,13,2,32,6,0,0,0,2,5,24,13,2,8,5,0,0,0.4446428571428571,2.625,0
0,0,5.0,5,0,5,15,41,18,2,2,2,7,4,27,9,2,5,4,3,2,1.252540650406504,1.5555555555555556,1
0,0,15.75,14,0,15,5,33,9,4,0,2,5,5,24,18,2,7,5,0,2,0.9603729603729605,3.125,0
2,0,6.0,6,0,6,2,31,5,1,0,0,5,7,27,9,2,1,7,0,0,0.4908456843940715,1.1111111111111112,0
0,2,2.0,2,0,2,6,32,9,2,0,2,1,8,27,5,0,5,8,1,0,0.8455357142857143,1.1111111111111112,1
1,0,2.0,2,0,3,5,31,7,0,0,1,1,8,27,7,0,3,8,0,1,0.5725806451612903,1.1111111111111112,1
0,1,5.625,5,1,5,3,34,7,1,1,0,3,7,24,7,1,1,7,1,1,0.5643879173290938,1.0,0
0,0,6.0,6,0,6,9,37,16,0,0,1,3,5,27,14,1,5,5,2,1,1.001318391562294,2.111111111111111,1
0,0,9.0,8,0,9,6,36,14,2,0,1,5,5,24,16,1,3,5,1,2,0.9801587301587302,2.375,0
1,1,9.0,9,0,9,6,37,13,1,0,2,2,5,27,10,4,7,5,0,0,0.9155405405405406,1.8888888888888888,0
1,1,6.0,6,0,6,9,37,10,0,1,4,7,4,27,13,2,2,4,0,1,1.035012285012285,1.6666666666666667,1
2,2,3.0,3,0,3,8,33,10,4,0,1,3,7,27,11,0,4,7,2,0,0.8835725677830941,1.6666666666666667,1
2,2,9.0,8,0,8,3,35,11,2,0,0,4,6,24,10,1,3,6,0,1,0.756043956043956,1.625,0
0,1,3.6,4,0,4,0,31,3,0,0,0,3,10,30,8,0,5,10,0,1,0.2732447817836812,1.3,0
1,0,0.0,0,0,0,4,38,8,3,0,0,5,7,30,3,0,3,7,2,0,0.5917992656058751,0.6,1
0,0,3.0,3,0,4,3,32,8,1,0,3,3,8,27,9,0,4,8,1,2,0.8767857142857143,1.4444444444444444,0
0,0,3.0,3,0,3,4,34,9,2,1,0,4,8,27,8,3,3,8,1,0,0.7244582043343653,1.2222222222222223,1
0,1,6.0,6,0,6,2,31,8,1,1,0,1,7,27,11,2,1,7,0,0,0.6783681214421253,1.3333333333333333,0
1,0,2.0,2,0,2,6,37,11,0,1,2,1,10,27,8,0,1,10,3,0,0.829302987197724,1.0,1
2,1,2.0,2,0,2,11,34,12,1,1,2,6,10,27,8,0,2,10,1,0,1.0676470588235294,1.1111111111111112,1
1,2,11.25,10,0,11,2,33,8,3,0,0,2,6,24,12,2,6,6,1,1,0.6190476190476191,2.25,0
0,2,19.0,19,0,19,5,37,11,1,0,3,4,6,27,17,6,7,6,1,2,0.9334212261041529,2.6666666666666665,0
2,0,5.0,5,0,5,19,43,17,2,0,6,7,9,27,11,3,4,9,1,1,1.3404651162790697,1.6666666666666667,1
1,1,4.0,4,0,4,5,28,9,0,0,2,5,6,27,8,0,3,6,0,0,0.9642857142857142,1.2222222222222223,1
1,1,5.625,5,0,5,4,34,8,3,0,0,3,5,24,9,2,5,5,2,0,0.6208267090620032,1.75,0
0,2,12.0,12,0,12,2,34,8,1,0,0,4,5,27,18,1,7,5,3,0,0.5804953560371517,2.7777777777777777,0
2,0,2.0,2,0,2,12,40,18,3,0,1,7,6,27,8,0,4,6,1,0,1.1490196078431372,1.3333333333333333,1
1,0,3.0,3,0,3,4,29,9,2,1,0,1,11,27,4,0,5,11,1,0,0.8031145717463849,1.0,1
0,1,4.5,4,0,4,3,28,4,1,0,0,5,3,24,9,0,1,3,1,0,0.4432773109243697,1.25,0
1,0,6.0,8,0,8,8,47,15,2,1,1,6,12,36,13,0,6,12,0,0,0.8966565349544073,1.5833333333333333,0
0,1,6.0,8,0,8,8,44,13,2,0,0,6,7,36,15,1,6,7,1,0,0.7182675814751287,1.75,0
0,0,6.0,6,0,6,4,40,14,3,0,0,4,8,27,12,2,3,8,2,0,0.8340909090909091,1.6666666666666667,0
0,0,4.0,4,0,4,6,36,12,5,0,2,3,4,27,14,0,4,4,0,0,1.0388888888888888,2.0,1
0,0,7.0,7,0,8,7,33,8,0,1,2,5,2,27,12,4,3,2,1,1,0.8348484848484848,1.6666666666666667,0
0,0,5.0,5,0,7,8,37,12,1,0,4,3,8,27,8,2,5,8,2,1,1.0659195781147002,1.4444444444444444,1
0,0,2.0,2,0,2,10,33,13,2,0,2,3,8,27,10,0,5,8,3,0,1.1363636363636362,1.6666666666666667,1
0,0,11.25,10,0,10,2,33,10,1,1,0,5,4,24,13,2,3,4,2,0,0.793939393939394,2.0,0
2,1,6.0,6,0,7,5,36,12,2,0,0,7,4,27,13,2,6,4,0,1,0.8333333333333333,2.111111111111111,0
1,2,2.0,2,0,5,7,37,13,3,1,2,6,4,27,12,0,7,4,0,1,1.0905091137649277,2.111111111111111,1
1,1,18.0,18,0,18,7,40,11,3,0,3,1,4,27,22,5,5,4,1,0,0.8676829268292683,3.0,0
1,1,4.0,4,0,7,18,47,22,3,0,5,5,5,27,11,3,1,5,1,3,1.3702945990180033,1.3333333333333333,1
0,4,4.0,4,0,4,10,38,15,2,0,3,5,6,27,9,1,3,6,0,0,1.161483253588517,1.3333333333333333,1
4,0,11.25,10,0,10,4,35,9,5,0,1,3,10,24,15,3,5,10,1,0,0.8357142857142856,2.5,0
0,5,2.0,2,0,4,7,32,10,2,0,0,2,12,27,10,2,2,12,1,1,0.7279411764705883,1.3333333333333333,1
5,0,3.375,3,0,7,4,35,10,1,0,2,2,3,24,10,0,2,3,1,5,0.8015037593984962,1.5,0
3,0,8.0,8,0,8,9,37,14,3,0,2,2,10,27,11,5,5,10,0,0,1.0318780318780318,1.7777777777777777,1
0,3,10.125,9,0,9,8,38,11,0,0,5,5,6,24,14,2,2,6,0,0,1.0563035495716036,2.0,0
0,1,4.0,4,0,4,5,29,7,2,0,0,1,6,27,10,1,1,6,0,0,0.6006674082313682,1.2222222222222223,1
1,0,4.5,4,0,5,4,35,10,2,0,1,1,9,24,7,0,1,9,0,1,0.7258687258687259,1.0,0
0,2,1.0,1,0,1,2,25,4,1,0,0,4,8,27,5,0,4,8,0,1,0.47586206896551725,1.0,1
2,0,1.125,1,0,2,1,32,5,1,0,0,4,6,24,4,0,4,6,1,1,0.4375,1.0,0
0,0,4.0,4,0,4,2,28,4,0,0,0,8,6,27,8,2,4,6,0,0,0.47619047619047616,1.3333333333333333,0
0,0,2.0,2,0,2,4,32,8,2,0,2,4,4,27,4,0,8,4,2,0,0.8333333333333333,1.3333333333333333,1
2,1,5.0,5,0,5,8,31,9,0,2,1,6,9,27,11,0,1,9,0,1,0.92153443766347,1.3333333333333333,1
1,2,9.0,8,0,8,5,39,11,2,0,0,1,4,24,9,1,6,4,2,0,0.6333333333333333,1.875,0
0,0,8.0,8,0,8,9,38,15,1,0,1,5,5,27,14,2,3,5,1,0,0.9666666666666667,1.8888888888888888,1
0,0,9.346153846153847,9,0,9,8,37,14,3,0,2,3,5,26,15,1,5,5,1,1,1.036255767963085,2.307692307692308,0
0,1,3.0,3,0,3,6,29,7,3,0,1,4,9,27,9,1,5,9,1,0,0.7911330049261084,1.5555555555555556,1
1,0,5.625,5,0,6,3,33,9,1,1,1,5,6,24,7,1,4,6,0,1,0.8229665071770335,1.375,0
0,2,10.0,10,0,10,13,32,13,2,1,1,8,9,27,15,2,5,9,2,0,1.1371951219512195,2.2222222222222223,1
2,0,14.625,13,0,13,10,40,15,3,0,2,5,3,24,13,1,8,3,3,0,1.0565217391304347,2.625,0
1,0,1.0,1,0,1,2,29,8,3,0,0,5,7,27,7,0,4,7,1,0,0.7793103448275862,1.2222222222222223,1
0,1,2.25,2,0,2,1,30,7,0,0,0,4,6,24,8,0,5,6,0,0,0.5476190476190477,1.625,0
1,1,0.0,0,0,0,5,28,8,0,0,2,2,14,27,1,0,4,14,0,0,0.8939393939393939,0.5555555555555556,1
1,1,3.375,3,0,5,0,26,1,1,0,0,4,4,24,8,2,2,4,2,1,0.24358974358974358,1.25,0
0,1,7.0,7,0,7,6,31,7,2,1,0,6,5,27,13,0,5,5,1,1,0.7061900610287708,2.0,0
1,0,6.0,6,0,6,7,38,13,2,0,0,5,8,27,7,0,6,8,1,0,0.8265550239234449,1.4444444444444444,1
1,0,9.0,9,0,9,2,33,7,1,1,0,4,7,27,15,2,1,7,1,1,0.5925039872408293,1.7777777777777777,0
0,1,2.0,2,0,2,9,40,15,3,0,2,1,7,27,7,0,4,7,0,0,0.9902439024390244,1.2222222222222223,1
0,2,3.0,3,0,3,6,32,10,3,0,2,8,8,27,11,0,3,8,2,0,1.0327743902439024,1.5555555555555556,1
2,0,6.75,6,0,6,3,36,11,3,0,0,3,7,24,10,2,8,7,1,1,0.7638888888888888,2.25,0
2,2,4.0,4,0,4,7,36,11,1,0,1,5,3,27,8,2,3,3,0,0,0.806910569105691,1.2222222222222223,1
2,2,6.75,6,0,7,4,34,8,1,0,2,3,8,24,11,1,5,8,0,1,0.7384737678855327,2.0,0
0,1,8.1,9,0,9,6,37,10,2,0,0,5,11,30,18,4,5,11,2,0,0.7106879606879607,2.3,0
1,0,5.4,6,0,6,9,43,18,2,0,4,5,4,30,10,0,5,4,0,0,1.2241860465116279,1.5,1
0,1,1.0,1,0,1,5,31,9,2,0,0,3,6,27,10,0,1,6,0,1,0.7077798861480076,1.2222222222222223,1
1,0,5.625,5,0,5,1,36,10,2,0,0,1,2,24,9,0,3,2,1,0,0.6306306306306306,1.5,0
0,2,6.0,6,0,7,11,39,16,4,0,0,5,5,27,11,1,4,5,2,1,1.0128205128205128,1.6666666666666667,1
2,0,12.375,11,0,11,7,33,11,1,1,1,4,9,24,16,0,5,9,0,0,0.8997668997668997,2.625,0
